0	LaT
1	Mel
2	Qld
3	Syd
4	Oth
5	RMIT
6	NUK
7	Adl
8	Fli
9	UWA
10	QUT
11	Mon
12	GRI
13	Tas
14	NSW
15	Mur
16	Cam
17	UNE
18	ANU
19	economics
20	economics_law
21	humanities_law
22	humanities_economics
23	law
24	medicine
25	humanities
26	biol_chem_phys
27	socialScience
28	agronomy_economics
29	employed_top_management
30	employed_blue-collar_worker
31	employed_professional
32	full-time_politician
33	school_teacher
34	employed_other_white-collar_worker
35	self-employed_farmer_fisherman
36	self-employed_professional
37	self-employed_small_businessman
38	employed_middle_management
39	Military
